Ragione sociale,Partita IVA,"ATECO 2007
codice",Provincia,Indirizzo sede legale - Regione,Website,URLPositivo,NellaHomepage,Significativo,EsitoRichiesta,CodiceRisposta
S - TEAM S. R. L.,4792750269.0,152010.0,Treviso,Veneto,www.s-teamsrl.it,,,,SUCCESSO,200.0
ARCOBALENO S.R.L.,461870503.0,151100.0,Pisa,Toscana,www.arcobalenorifinizione.com,,,,SUCCESSO,200.0
NOVA GEA S.R.L.,1745870434.0,152020.0,Macerata,Marche,novagea.it,,,,SUCCESSO,200.0
EMMETRE S.R.L.,2176570501.0,152010.0,Pisa,Toscana,www.suolificioemmetre.it,,,,SUCCESSO,200.0
OFFICINE MODELLI S.R.L.,1480930443.0,152010.0,Fermo,Marche,www.officinemodelli.it,,,,SUCCESSO,403.0
FLAMINIA PUBBLICITA' S.R.L.,2366860415.0,151209.0,Pesaro Urbino,Marche,www.flaminia.it,,,,SUCCESSO,200.0
ITALCONCIA 1973 SRL,138820501.0,151100.0,Pisa,Toscana,biobasedleather.it,,,,SUCCESSO,200.0
KELTON S.R.L.,1380420446.0,152010.0,Fermo,Marche,www.keltonsrl.it,,,,SUCCESSO,503.0
ITALRETTILI S.R.L.,1824410508.0,151100.0,Pisa,Toscana,www.italrettili.com,,,,SUCCESSO,200.0
CALZATURIFICIO LASSI S.R.L.,1820260477.0,152010.0,Pistoia,Toscana,www.madeinitalyshoes.net,,,,SUCCESSO,200.0
TRESSE' SRL,3302340249.0,151209.0,Vicenza,Veneto,www.tressesrl.it,,,,SUCCESSO,200.0
PELLETTERIA LUISANNA S.R.L.,6132350486.0,151209.0,Firenze,Toscana,www.pelletterialuisanna.com,,,,ERRORE,
TOMAIFICIO LEONARDO S.R.L.,6343170483.0,152020.0,Firenze,Toscana,www.tomaificioleonardo.it,,,,SUCCESSO,200.0
SOLETTIFICIO STYLFLEX S.R.L.,1706540471.0,152020.0,Pistoia,Toscana,www.solettificiostylflex.it,,,,SUCCESSO,200.0
STEP SRL,10767370967.0,152020.0,Milano,Lombardia,www.nextstepcalzature.it,,,,SUCCESSO,200.0
CALZATURIFICIO VICTOR S.R.L.,1686940469.0,152010.0,Lucca,Toscana,www.calzaturificiovictor.it,,,,TIMEOUT,
FASHION CLOUD S.R.L.,7127010960.0,151209.0,Teramo,Abruzzo,www.lianuma.com,,,,SUCCESSO,200.0
SUOLIFICIO MONTERISI S.R.L.,7281600721.0,152020.0,Barletta-Andria-Trani,Puglia,http://www.suolificiomonterisi.it,,,,SUCCESSO,200.0
CERRI - S.R.L.,974590507.0,151100.0,Pisa,Toscana,www.cerripellami.it,,,,SUCCESSO,200.0
GIDAL S.R.L.,4176750240.0,151100.0,Vicenza,Veneto,www.gidal.it,,,,SUCCESSO,200.0
CALZATURIFICIO LUIS SOCIETA' COOPERATIVA P.A. IN SIGLA LUIS,1118330420.0,152010.0,Ancona,Marche,www.luiscalzature.it,,,,SUCCESSO,200.0
EVEET S.R.L.,3444500759.0,152010.0,Lecce,Puglia,www.pawelks.it,,,,SUCCESSO,200.0
RICCI S.R.L.,1619620444.0,152010.0,Fermo,Marche,www.rfrfabianoricci.it,,,,SUCCESSO,200.0
CALZATURIFICIO SPRING -S.R.L.,759680440.0,152010.0,Fermo,Marche,www.mariobruni.it,,,,SUCCESSO,200.0
CRISTIAN DANIEL S.R.L.,6773120636.0,152000.0,Napoli,Campania,www.cristiandaniel.com,,,,SUCCESSO,200.0
LAINO ANGELO BELTS SOCIETA' A RESPONSABILITA' LIMITATA,7739341217.0,151209.0,Napoli,Campania,www.lainoangelobelts.com,,,,SUCCESSO,200.0
TM SERVICE S.R.L.,2290840426.0,151209.0,Ancona,Marche,www.tmservicesrl.it,,,,SUCCESSO,200.0
MDA S.R.L.,4028420240.0,151100.0,Vicenza,Veneto,www.mdaitalia.com,,,,SUCCESSO,200.0
IMPRES S.R.L.,1550790503.0,151100.0,Pisa,Toscana,www.imprespelli.it,,,,SUCCESSO,200.0
LINEA COMODA S.R.L.,3003551219.0,152000.0,Napoli,Campania,www.lineacomoda.com,,,,SUCCESSO,200.0
COOPERATIVA SOCIALE IL SORRISO - SOC. COOP. A R.L. IN BREVE COOPERATIVA SOCIALE IL SORRISO,611131202.0,151209.0,Bologna,Emilia-Romagna,www.ilsorriso-imola.it,,,,SUCCESSO,200.0
TEKNO SYSTEM SG SRL,2539930186.0,151100.0,Pavia,Lombardia,www.teknosystemsg.it,,,,SUCCESSO,200.0
GREEN GEORGE S.R.L.,2170130443.0,152010.0,Fermo,Marche,greengeorge.it,,,,SUCCESSO,200.0
"CALZATURIFICIO BRASILEN SOCIETA' A RESPONSABILITA' LIMITATA, IN S IGLA CALZATURIFICIO BRASILEN S.R.L.",639860980.0,152010.0,Brescia,Lombardia,www.brasilen.it,,,,SUCCESSO,200.0
DEL DUCA S.R.L.,7424240633.0,152000.0,Napoli,Campania,www.delduca.it,,,,SUCCESSO,200.0
SAPAF - S.R.L.,408470482.0,151209.0,Firenze,Toscana,sapafatelier1954.com,,,,SUCCESSO,200.0
PAMAR S.R.L.,1707620504.0,152000.0,Pisa,Toscana,pamarsrl.com,,,,SUCCESSO,200.0
DUE EMME SRL,1182230431.0,152020.0,Macerata,Marche,www.tacchificio2m.com,,,,SUCCESSO,200.0
NIAGARA & CO. SRL,4374730168.0,151209.0,Brescia,Lombardia,www.thebikezone.it,,,,SUCCESSO,200.0
COBRA PELLETTERIE S.R.L.,4530530486.0,151209.0,Firenze,Toscana,www.cobrapelletterie.com,,,,SUCCESSO,200.0
PLUSPELL SRL,3755090242.0,151100.0,Vicenza,Veneto,www.plus-pell.it,,,,SUCCESSO,200.0
SUOLIFICIO GBC SRL,1476640436.0,152020.0,Macerata,Marche,www.suolificiogbc.it,,,,SUCCESSO,200.0
HOLLY SHOES SRLS,2285980443.0,152010.0,Fermo,Marche,www.hollystyle.it,,,,ERRORE,
CALZATURIFICIO LUNELLA SRL,1815550445.0,152010.0,Fermo,Marche,www.lunellaweb.it,,,,SUCCESSO,200.0
CALZATURIFICIO NORTON S.R.L.,262240302.0,152010.0,Udine,Friuli-Venezia Giulia,http://www.norton-shoes.it,,,,SUCCESSO,200.0
CALZATURIFICIO MEN'S SHOES SRL,1575130438.0,152010.0,Macerata,Marche,mensshoes.it,,,,SUCCESSO,200.0
FUTURA - S.R.L.,992270504.0,151100.0,Pisa,Toscana,www.futura-srl.net,,,,SUCCESSO,200.0
TRANCERIA LA TORRE S.R.L.,1465070512.0,152020.0,Arezzo,Toscana,latorrefasciature.it,,,,SUCCESSO,200.0
RICCI ENRICO S.R.L.,4268180405.0,152020.0,Forlì-Cesena,Emilia-Romagna,www.riccienrico.it,,,,SUCCESSO,200.0
LETA SOCIETA' A RESPONSABILITA' LIMITATA IN SIGLA LETA S.R.L.,1715730287.0,152020.0,Padova,Veneto,www.leta.it,,,,SUCCESSO,200.0
GAB S.R.L.,1649260443.0,152010.0,Fermo,Marche,www.nerogiardini.it,,,,SUCCESSO,200.0
CALZATURIFICIO DEL CARLO S.R.L.,1633190465.0,152010.0,Lucca,Toscana,www.robertodelcarlo.it,,,,TIMEOUT,
SOLETTIFICIO TRIS SRL,427220447.0,152020.0,Fermo,Marche,www.solettificiotris.it,,,,SUCCESSO,200.0
PIERO TUCCI SRL,3670890486.0,151200.0,Firenze,Toscana,www.pierotucci.com,,,,SUCCESSO,200.0
PELLETTERIA LA MELINA S.R.L.,5969200483.0,151209.0,Firenze,Toscana,pelletterialamelina.it,,,,SUCCESSO,200.0
LUPI GROUP S.R.L.,1994830436.0,151209.0,Macerata,Marche,www.desireelupi.com,,,,TIMEOUT,
EDER SHOES S.R.L.,5747450723.0,152010.0,Bari,Puglia,edershoes.it,,,,SUCCESSO,200.0
IO PELLE S.R.L. UNIPERSONALE,6789961213.0,151209.0,Napoli,Campania,www.iopelleitalia.com,,,,SUCCESSO,200.0
NEW STEP S.R.L.,1628630434.0,152010.0,Macerata,Marche,www.newstepsrl.it,,,,SUCCESSO,200.0
GUARDOLIFICIO LUCCHESE SOCIETA' A RESPONSABILITA' LIMITATA OPPURE: GUARDOLIFICIO LUCCHESE S.R.L.,1248730465.0,152020.0,Lucca,Toscana,www.guardolificiolucchese.com,,,,SUCCESSO,200.0
TACCHIFICIO GIORGIO S.R.L.,1432480505.0,152020.0,Pisa,Toscana,www.tacchificiogiorgio.it,,,,SUCCESSO,200.0
VUEFFE SRL,1212470445.0,152010.0,Ascoli Piceno,Marche,www.lilimill.com,,,,SUCCESSO,200.0
MARTINICA BELTS S.R.L.,3777900238.0,151209.0,Verona,Veneto,www.martinicabelts.it,,,,SUCCESSO,200.0
TACCHIFICIO PALMA S.R.L.,1250441217.0,152000.0,Napoli,Campania,tacchificiopalma.it,,,,SUCCESSO,200.0
REPTILE'S HOUSE S.R.L.,7382480155.0,151209.0,Milano,Lombardia,www.reptileshouse.net,,,,SUCCESSO,403.0
RUSAM - S.R.L.,689730505.0,152010.0,Pisa,Toscana,www.calzaturificiorusam.com,,,,SUCCESSO,200.0
BACCARO GROUP S.R.L.,1481300299.0,152010.0,Rovigo,Veneto,www.baccarogroup.com,,,,SUCCESSO,200.0
VIRGILIO CONCERIA ARTIGIANA S.R.L.,218960508.0,151100.0,Pisa,Toscana,virgilioconceriaartigiana.it,,,,SUCCESSO,200.0
8 PROJECT SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,9075421215.0,151209.0,Napoli,Campania,www.8project.it,,,,SUCCESSO,200.0
FADEL S.R.L.,1896310461.0,152010.0,Lucca,Toscana,www.fadel.it,,,,SUCCESSO,200.0
ANDREA D'AMICO S.R.L.,1817491200.0,151209.0,Bologna,Emilia-Romagna,www.andreadamico.com,,,,TIMEOUT,
OFFICINA DELLA BORSA S.R.L.,4003900273.0,151209.0,Padova,Veneto,www.michaelsoho.com,,,,SUCCESSO,200.0
SUOLIFICIO DE CAROLIS S.R.L.,1758080442.0,152020.0,Fermo,Marche,www.suolificiodecarolis.com,,,,SUCCESSO,200.0
BOTTEGA QUADRA SRL,3783430246.0,151209.0,Vicenza,Veneto,www.bottegaquadra.com,,,,SUCCESSO,200.0
TONILAB 25 S.R.L.,1005800501.0,151100.0,Pisa,Toscana,tonilab25.it,,,,SUCCESSO,200.0
RI.PELL. S.R.L.,1776190645.0,151100.0,Avellino,Campania,www.ripellsrl.com,,,,SUCCESSO,200.0
REVOLUTION SHOES S.R.L.,6731660723.0,152020.0,Barletta-Andria-Trani,Puglia,www.revolutionshoes.it,,,,ERRORE,
VP VERA PELLAMI SRL,3421980248.0,151100.0,Vicenza,Veneto,www.verapellami.it,,,,SUCCESSO,200.0
LOTTINI - S.R.L.,1250680467.0,152010.0,Lucca,Toscana,www.lottinishoes.it,,,,SUCCESSO,200.0
MALAICA SRL,4592730263.0,152010.0,Treviso,Veneto,www.equick.it,,,,SUCCESSO,200.0
CALZATURIFICIO LIVERPOOL S.R.L.,1583770290.0,152010.0,Rovigo,Veneto,www.liverpoolshoes.it,,,,SUCCESSO,200.0
LANCIO S.R.L.,2197420447.0,152010.0,Fermo,Marche,www.lancio.net,,,,SUCCESSO,200.0
KJR S.R.L.,3633270610.0,152010.0,Caserta,Campania,www.korrecta.it,,,,SUCCESSO,200.0
VALDARNOPLAST S.R.L.,1214710509.0,152010.0,Pisa,Toscana,www.oltreluna.com,,,,SUCCESSO,200.0
SOCEN S.R.L.,2119130447.0,152020.0,Fermo,Marche,www.socen.it,,,,TIMEOUT,
ARTIGIANI PELLETTIERI SRL,1443600521.0,151209.0,Siena,Toscana,artigianipellettieri.it,,,,SUCCESSO,200.0
SUOLIFICIO CA.PRI SRL,1138130446.0,152020.0,Fermo,Marche,www.ca-pri.it,,,,SUCCESSO,200.0
BLUE RIBE SRL,2673670283.0,152010.0,Padova,Veneto,www.ribeclog.it,,,,SUCCESSO,200.0
BORGOMARINO S.R.L.,2064090687.0,151209.0,Pescara,Abruzzo,www.borgomarinopelle.com,,,,SUCCESSO,200.0
PRINCIPE S.R.L.,1233220506.0,152020.0,Pisa,Toscana,www.suolificioprincipe.it,,,,SUCCESSO,200.0
S.G.L. SERVICE S.R.L.,3784970240.0,151100.0,Vicenza,Veneto,www.sglrossetto.com,,,,SUCCESSO,200.0
CALZATURIFICIO MARINI PAOLO S.R.L.,1746390432.0,152010.0,Macerata,Marche,www.seboys.it,,,,SUCCESSO,200.0
NUOVA ARUX SOCIETA' A RESPONSABILITA' LIMITATA,960160471.0,152010.0,Pistoia,Toscana,http://www.nuovaarux.com,,,,SUCCESSO,200.0
CERBAI S.R.L.,2160090508.0,151209.0,Pisa,Toscana,cerbai.it,,,,SUCCESSO,200.0
SUOLIFICIO A.G. S.R.L.,1429350430.0,152020.0,Macerata,Marche,www.suolificioag.it,,,,SUCCESSO,200.0
BEST GROUP ACCESSORI S.R.L. - SOCIETA' UNIPERSONALE,2253590976.0,151209.0,Prato,Toscana,bestgroupaccessori.it,,,,TIMEOUT,
CASTELLARI DIFFUSION S.R.L.,2541440125.0,151200.0,Varese,Lombardia,www.castellaridiffusion.com,,,,SUCCESSO,200.0
PASQUINI S.R.L.,1430200467.0,152010.0,Lucca,Toscana,www.pasquinicalzature.it,,,,SUCCESSO,200.0
MARTINA LEATHERS S.R.L.,3898070242.0,151100.0,Vicenza,Veneto,martinaleathers.com,,,,SUCCESSO,200.0
PELLETTERIE FOTI - S.R.L. SOCIETA' A SOCIO UNICO,6587480481.0,151209.0,Firenze,Toscana,pelletterie-foti.it,,,,SUCCESSO,200.0
DUECCI SRL,2435210444.0,152020.0,Ascoli Piceno,Marche,www.duecci-srl.it,,,,SUCCESSO,200.0
STILSUOLE S.R.L.,3800710273.0,152020.0,Venezia,Veneto,stilsuole.it/,,,,SUCCESSO,200.0
ANGELINI S.R.L.,3719200408.0,152020.0,Forlì-Cesena,Emilia-Romagna,www.angelinitacchi.com,,,,SUCCESSO,200.0
NUOVA CARPI SRL,1398850188.0,152020.0,Pavia,Lombardia,www.nuovacarpi.com,,,,SUCCESSO,200.0
TACCHIFICIO NUOVA VAL DI CHIENTI SOCIETA' A RESPONSABILITA' LIMITATA (IN SIGLA TACCHIFICIO NUOVA VAL DI CHIENTI S.R.L.),1524460431.0,152020.0,Macerata,Marche,www.nuovavaldichienti.it,,,,ERRORE,
CALZATURIFICIO SOCLANI S.R.L.,6751221216.0,152010.0,Napoli,Campania,gianmarcosorelli.it,,,,SUCCESSO,200.0
ITALIAN FLAG S.R.L.,4648660266.0,152010.0,Padova,Veneto,hideandjack.com,,,,SUCCESSO,200.0
M.E. S.R.L.,6557640486.0,151100.0,Firenze,Toscana,www.mestamp.it,,,,SUCCESSO,200.0
PENELOPE SRL,2114010446.0,152010.0,Fermo,Marche,www.penelopeshoes.com,,,,SUCCESSO,200.0
PISTONESI SRL,2295560441.0,152020.0,Fermo,Marche,www.pistonesi.com,,,,SUCCESSO,200.0
BALLARINI S.R.L.,2551420413.0,151209.0,Pesaro Urbino,Marche,www.ballarinisrl.com,,,,SUCCESSO,200.0
ANNIEL S.R.L.,4561020266.0,152010.0,Treviso,Veneto,www.annielshop.com,,,,SUCCESSO,200.0
ALP SRL,1997230444.0,152010.0,Fermo,Marche,adno.surf,,,,SUCCESSO,200.0
RUBEK S.R.L.,1789210430.0,152020.0,Macerata,Marche,www.rubek.com,,,,SUCCESSO,200.0
CALZATURIFICIO PREMIERE S.R.L.,3977540750.0,152010.0,Lecce,Puglia,www.premieremaison.it,,,,TIMEOUT,
L'AUTRE CHOSE S.R.L. - SOCIETA' IN LIQUIDAZIONE,1412510446.0,152010.0,Fermo,Marche,http://www.boccaccini.it,,,,SUCCESSO,200.0
CONCERIA GIADA S.P.A,529820243.0,151100.0,Vicenza,Veneto,www.conceriagiada.it,,,,SUCCESSO,200.0
MELISSA S.R.L.,1940180506.0,151209.0,Pisa,Toscana,www.melissasrl.it,,,,SUCCESSO,200.0
MENERVA S.R.L.,1477700528.0,151209.0,Siena,Toscana,pelletteria-menerva.it,,,,SUCCESSO,200.0
NUOVA IMMAGINE S.R.L.,2723930182.0,152020.0,Pavia,Lombardia,www.nuovaimmaginesrl.com,,,,SUCCESSO,200.0
MONTEVERDI S.R.L.,3836850481.0,151100.0,Firenze,Toscana,buy-conceriamonteverdi.it,,,,SUCCESSO,200.0
FESSURA ITALIA S.R.L.,2178780447.0,152010.0,Fermo,Marche,www.fessura.com,,,,SUCCESSO,200.0
RAF VALIGERIA S.R.L.,1627460460.0,151209.0,Lucca,Toscana,www.raf-luxury.com,,,,ERRORE,
CONCERIA MARIO STEFANELLI & FIGLI S.R.L.,652590506.0,151100.0,Pisa,Toscana,www.stefanellisrl.it,,,,ERRORE,
LE SOFT S.R.L.,4598300723.0,152000.0,Barletta-Andria-Trani,Puglia,www.lesoft.it,,,,SUCCESSO,200.0
CALZATURIFICIO DORIA MARIO SRL,140560434.0,152010.0,Macerata,Marche,www.mariodoria.it,,,,SUCCESSO,200.0
GASTALDI AUTOMOTIVE S.R.L.,3247800042.0,151209.0,Cuneo,Piemonte,www.gastaldiautomotive.com,,,,TIMEOUT,
TOMAIFICIO SL S.R.L.,2286680448.0,152020.0,Fermo,Marche,www.clonessrl.com,,,,SUCCESSO,200.0
NEXT BAG S.R.L.S.,6532150486.0,151209.0,Firenze,Toscana,www.viamailbag.it,,,,SUCCESSO,200.0
PELLETTERIE ABL - SOCIETA' A RESPONSABILITA' LIMITATA,2421330271.0,151209.0,Venezia,Veneto,www.rebelleftc.com,,,,SUCCESSO,200.0
GIRONACCI PELLETTERIE SOCIETA' A RESPONSABILITA' LIMITATA IN BREVE GIRONACCI PELLETTERIE S.R.L.,1805200449.0,151209.0,Fermo,Marche,www.gironacci.it,,,,SUCCESSO,200.0
GAMMA 3 S.R.L.,1813520978.0,151200.0,Prato,Toscana,www.gamma3.net,,,,SUCCESSO,200.0
ARMETTA NICOLETTA SRL,4024080246.0,151209.0,Vicenza,Veneto,www.armenico.it,,,,SUCCESSO,200.0
MOON FLOWER S.R.L.,5379740631.0,152010.0,Napoli,Campania,www.enzodimartino.it,,,,SUCCESSO,200.0
MG ETRUSCO S.R.L.,5871970488.0,152020.0,Firenze,Toscana,www.mgetrusco.it,,,,SUCCESSO,200.0
LASER FASHION S.R.L.,2398080644.0,151100.0,Avellino,Campania,www.laserfashion.it,,,,SUCCESSO,200.0
PELLETTERIA PORTONE S.R.L.,1801650126.0,151200.0,Varese,Lombardia,www.castellaridiffusion.com,,,,SUCCESSO,200.0
STUDIO DESIGN - S.R.L.,1836970481.0,151200.0,Firenze,Toscana,www.gianfrancosisti.com,,,,SUCCESSO,200.0
DUCANERO S.R.L.,1765770431.0,152010.0,Macerata,Marche,www.ducanero.it,,,,SUCCESSO,200.0
MAXIMA SRL,10563310159.0,151209.0,Milano,Lombardia,maximabags.com,,,,SUCCESSO,200.0
BRANDINA S.R.L.,4107010409.0,151209.0,Rimini,Emilia-Romagna,www.brandinatheoriginal.it,,,,SUCCESSO,200.0
DULIO ACCESSORI DI DULIO ALBERTO E C. S.R.L.,274450188.0,152020.0,Pavia,Lombardia,www.dulioaccessori.it,,,,SUCCESSO,200.0
VALPEL DI LAMBERTO & UGO MOROZZI S.R.L.,839530474.0,151100.0,Pistoia,Toscana,http://www.valpel.it/,,,,SUCCESSO,200.0
IL PUMA S.R.L.,1760230506.0,151100.0,Pisa,Toscana,ilpumasrl.it,,,,SUCCESSO,200.0
AERRE GROUP S.R.L.,9144001212.0,152010.0,Napoli,Campania,demblee.it,,,,SUCCESSO,200.0
NUOVA VEREGRA SOCIETA' A RESPONSABILITA 'LIMITATA,1510970443.0,152010.0,Fermo,Marche,www.grazianosalvatelli.it,,,,SUCCESSO,200.0
VALERIO GIUNTOLI CORPORATION SRL,1798100473.0,152010.0,Pistoia,Toscana,landing.elvaqueroretailers.com,,,,SUCCESSO,404.0
MAX DI PARMA S.R.L.,1934190347.0,151209.0,Parma,Emilia-Romagna,www.albertodiparma.com,,,,SUCCESSO,200.0
CALZATURIFICIO ALDO'S S.R.L.,1068130473.0,152010.0,Pistoia,Toscana,www.wexford.it,,,,SUCCESSO,200.0
MAURI SHOES S.R.L.,5094780961.0,152010.0,Monza e della Brianza,Lombardia,www.maurishoes.com,,,,SUCCESSO,200.0
STAR PLAST SRL,2000890448.0,152020.0,Fermo,Marche,www.starplastsnc.it,,,,SUCCESSO,200.0
MARIGROUP & CO. S.R.L.,1900940501.0,151209.0,Pisa,Toscana,kontessaccessori.it,,,,ERRORE,
TOMAIFICIO LIDIS SOCIETA' A RESPONSABILITA' LIMITATA,1702440478.0,152020.0,Pistoia,Toscana,tomaificiolidis.it,,,,SUCCESSO,200.0
CONCERIA DANIELA S.R.L.,3948180249.0,151100.0,Vicenza,Veneto,www.conceriadaniela.com,,,,SUCCESSO,200.0
CARBOTTI S.R.L.,1076090735.0,151200.0,Taranto,Puglia,www.carbottibags.com,,,,SUCCESSO,200.0
TERRIDA S.R.L.,2058000270.0,151209.0,Venezia,Veneto,www.terrida.com,,,,SUCCESSO,200.0
BENI' S.R.L.,407510445.0,152010.0,Fermo,Marche,www.ercoligino.it,,,,TIMEOUT,
PRODITAL ITALIA S.R.L.,2559350240.0,151100.0,Vicenza,Veneto,www.prodital.biz,,,,SUCCESSO,200.0
L'ARIANNA S.R.L.,4357491218.0,152010.0,Napoli,Campania,larianna.it,,,,SUCCESSO,200.0
MARANT SOCIETA' A RESPONSABILITA' LIMITATA IN ABBREVIAZIONE MARANT S.R.L.,2557240641.0,151209.0,Avellino,Campania,pelletteriamarant.com,,,,SUCCESSO,200.0
FIMAR SRL,8978001215.0,152020.0,Napoli,Campania,www.gianmarcof.it,,,,ERRORE,
RENZONI ILASIO SOCIETA' A RESPONSABILITA' LIMITATA ENUNCIABILE ANCHE RENZONI ILASIO S.R.L.,1887240446.0,152010.0,Fermo,Marche,www.renzoni.net,,,,SUCCESSO,200.0
EXA SRL,1729410447.0,152010.0,Fermo,Marche,www.exa-srl.it,,,,SUCCESSO,200.0
ROBERTO MORELLI S.R.L.,2076040449.0,152010.0,Fermo,Marche,www.robertomorellisrl.it,,,,SUCCESSO,200.0
POMME MANIFATTURE S.R.L.,547760678.0,151209.0,Teramo,Abruzzo,pomme.it,,,,SUCCESSO,200.0
CONCERIA BERTOLDI AL GIORIO S.R.L.,142130244.0,151100.0,Vicenza,Veneto,http://www.conceriabertoldi.com,,,,SUCCESSO,200.0
G & G CONFEZIONI SRL,6771480966.0,151209.0,Milano,Lombardia,ggconfezioni.com,,,,SUCCESSO,200.0
IN LINE S.R.L.,1586920447.0,152010.0,Fermo,Marche,www.inlinesrl.it,,,,SUCCESSO,200.0
ALPACA S.R.L.,2304610500.0,151100.0,Pisa,Toscana,www.conceria-alpaca.it,,,,TIMEOUT,
C.L. CALZATURIFICIO SOCIETA' COOPERATIVA,4203940616.0,152010.0,Caserta,Campania,clcalzaturificio.it,,,,ERRORE,
SABOR SHOES S.R.L.,2482460462.0,152010.0,Lucca,Toscana,www.lereginedelforte.com,,,,SUCCESSO,200.0
SUOLIFICIO GALLETTI S.R.L.,2292460447.0,152020.0,Fermo,Marche,www.suolificiogalletti.it,,,,SUCCESSO,200.0
LABOR SRL,485820500.0,151209.0,Pisa,Toscana,www.laborsrl.org,,,,SUCCESSO,200.0
MAF SRL,1746110442.0,152020.0,Fermo,Marche,www.mafsrl.net,,,,SUCCESSO,200.0
ALDO CASTAGNA S.R.L.,4004421212.0,152000.0,Napoli,Campania,www.aldocastagna.com,,,,SUCCESSO,200.0
CONSULT LINE S.R.L.,1728280262.0,152010.0,Treviso,Veneto,orizo.it,,,,SUCCESSO,200.0
LE PEPE' SRL UNIPERSONALE,3520550272.0,152000.0,Venezia,Veneto,www.lepepe.it,,,,SUCCESSO,200.0
CALZATURIFICIO ROMANO MARTEGANI S.R.L.,196340129.0,152010.0,Monza e della Brianza,Lombardia,www.rm1891.com,,,,SUCCESSO,200.0
START SRL,2236470502.0,151100.0,Pisa,Toscana,www.startleather.it,,,,SUCCESSO,200.0
FASHION MARKET S.R.L.,1836380434.0,152010.0,Macerata,Marche,www.barleycorn.it,,,,SUCCESSO,200.0
CO.PE.CA. S.R.L.,6145421217.0,151100.0,Napoli,Campania,www.copecapelli.com,,,,SUCCESSO,200.0
S.L.K. VERDECCHIA S.R.L.,1083860435.0,152010.0,Macerata,Marche,www.verdecchia.it,,,,SUCCESSO,200.0
ITALSUOLE SRL,7140530630.0,152020.0,Caserta,Campania,www.italsuole.it,,,,SUCCESSO,200.0
PREZIOSO GROUP S.R.L.,8138791218.0,152010.0,Napoli,Campania,www.preziosogroup.com,,,,SUCCESSO,200.0
ELLE S.R.L.,3943150163.0,152010.0,Bergamo,Lombardia,avenue67.it,,,,SUCCESSO,200.0
PALMADORO SRL,3071830123.0,152020.0,Varese,Lombardia,www.palmadoro.it,,,,SUCCESSO,200.0
FRADA S.R.L.,3216840268.0,152020.0,Treviso,Veneto,www.frada.it,,,,ERRORE,
GUARDOLIFICIO DIOMEDI S.R.L.,2106310440.0,152020.0,Fermo,Marche,www.guardolificiodiomedi.com,,,,SUCCESSO,200.0
EUROPEAN COMFORT S.R.L.,3887590234.0,152010.0,Verona,Veneto,www.europeancomfort.it,,,,SUCCESSO,200.0
PELLETTERIA Z3 SRL,13177730150.0,151200.0,Milano,Lombardia,www.pelletteriaz3.it,,,,SUCCESSO,200.0
CALZATURIFICIO RI.ST. S.R.L. UNIPERSONALE,1841220443.0,152010.0,Fermo,Marche,fasterishoes.com,,,,SUCCESSO,200.0
PRES S.R.L.,1478870445.0,151100.0,Fermo,Marche,www.suolificiopres.it,,,,ERRORE,
SUOLIFICIO G.L. S.R.L.,1604350445.0,152020.0,Fermo,Marche,www.suolificiogl.com,,,,SUCCESSO,200.0
LGN ITALIA S.R.L.,2345300442.0,152010.0,Fermo,Marche,www.luiginoverducci.it,,,,SUCCESSO,200.0
BASIC S.R.L.,3929100612.0,152010.0,Caserta,Campania,playone.it,,,,SUCCESSO,200.0
CONCERIA ITALPELLI S.R.L.,2772810640.0,151100.0,Avellino,Campania,www.conceriaitalpelli.it,,,,SUCCESSO,200.0
CALZATURIFICIO OSCAR SPORT S.R.L,4316980269.0,152010.0,Treviso,Veneto,www.oscarsport.com,,,,SUCCESSO,200.0
C3 GROUP SRL,1138140445.0,152020.0,Fermo,Marche,http://www.guardolificioc3.com,,,,SUCCESSO,200.0
ASCOT S.P.A.,707110508.0,151100.0,Pisa,Toscana,http://www.ascotspa.it,,,,SUCCESSO,200.0
ALEVI' SRL,4351360401.0,152010.0,Forlì-Cesena,Emilia-Romagna,www.alevimilano.com,,,,SUCCESSO,200.0
SEVEN PELLETTERIA S.R.L.,8114251211.0,151209.0,Napoli,Campania,www.sevenpelletteria.it,,,,ERRORE,
BOTTEGA DEL CUOIO S.R.L.,8232611213.0,151209.0,Napoli,Campania,www.bottegadelcuoio.com,,,,SUCCESSO,200.0
NOVES S.R.L.,430910505.0,152020.0,Pisa,Toscana,www.noves.it,,,,TIMEOUT,
SPACCATRICE PIAVE S.R.L.,709520506.0,151100.0,Pisa,Toscana,www.spaccatricepiave.it,,,,SUCCESSO,200.0
SANDROROSSI SRL,1447670439.0,152020.0,Macerata,Marche,www.tomaificiosandrorossi.it,,,,ERRORE,
CALZATURIFICIO RINASCITA S.R.L.,191220698.0,152010.0,Chieti,Abruzzo,www.rinascitashoes.it,,,,SUCCESSO,200.0
ER.CAN S.R.L.,881570436.0,152020.0,Macerata,Marche,www.ercan.it,,,,SUCCESSO,200.0
MAURO GOVERNA S.R.L.,1501520348.0,151200.0,Parma,Emilia-Romagna,www.maurogoverna.com,,,,SUCCESSO,200.0
