Ragione sociale,Partita IVA,"ATECO 2007
codice",Provincia,Indirizzo sede legale - Regione,Website
SABATINI CALZATURE S.R.L.,02572540546,152010,Perugia,Umbria,www.sabatinicalzature.com
CONCERIA EMMEDUE SRL,00793250242,151100,Vicenza,Veneto,www.conceriaemmedue.com
BELTRAME LUCIANO S.R.L.,02336530288,152020,Padova,Veneto,beltrameluciano.com
ADLER DI MARANA LINO & C. S.R.L.,01274040243,151100,Vicenza,Veneto,http://www.adler-chemicals.com
ANNA ROSSI S.R.L.,03527110161,151209,Bergamo,Lombardia,anna-rossi.it/language/it
CALZATURIFICIO SUSIMODA S.R.L. IN FORMA BREVE SUSIMODA S.R.L.,01574680243,152000,Vicenza,Veneto,www.susimoda.it
MORELLINO S.R.L.,00202870507,151100,Pisa,Toscana,morellinopelli.it
OLTREDONNA S.R.L.,08646931009,151209,Teramo,Abruzzo,oltredonna.com
SOLETTIFICIO VIGNA S.R.L.,00964400295,152020,Rovigo,Veneto,solettificiovigna.com
ERRE EMME SUOLE SRL,01163930439,152020,Macerata,Marche,www.rmsuole.com
MAROCCHINERIE E SCAMOSCERIE ITALIANE - SOCIETA' A RESPONSABILITA' LIMITATA,00475740015,151100,Torino,Piemonte,www.mesi.it
SOLETTIFICIO COMPAGNONE SRL,07338670156,152020,Milano,Lombardia,www.solettificiocompagnone.it
CALZ. MARIA LUISA S.R.L.,00346570443,152010,Fermo,Marche,www.marialuisa.info
PINEIDER 1774 S.R.L.,09561740961,151209,Firenze,Toscana,www.pineider.com
TERI S.R.L. IN LIQUIDAZIONE,00949690184,152020,Pavia,Lombardia,http://www.apcsrl.it
B & C COMPANY S.R.L.,06613030482,151209,Firenze,Toscana,www.becpelletterie.it
PREFINITI SIMON S.R.L.,01746000437,152020,Macerata,Marche,www.prefinitisimon.com
TRE BI - S.R.L.,00238660260,152020,Treviso,Veneto,http://www.tre-bi.it
CONCERIA CARAVAGGIO S.R.L.,01732670508,151100,Pisa,Toscana,www.conceriacaravaggio.it
CONCERIA CAPONI GIUSEPPE & C. S.R.L.,01162340507,151100,Pisa,Toscana,www.conceriacaponigiuseppe.it
CONCERIA PUCCINI ATTILIO S.R.L.,00974020505,151100,Pisa,Toscana,www.conceriapuccini.com
ERCOLI S.R.L.,01063150443,152010,Fermo,Marche,www.vittorioercoli.it
RUCOLINE S.R.L.,01820620548,152010,Perugia,Umbria,www.rucoline.com
CALZATURIFICIO BELLOFATTO AIMONE S.R.L. .,00851340505,152010,Pisa,Toscana,www.calzaturificiobellofatto.it
CONCERIA NUOVA GRENOBLE - S.R.L.,01038650501,151100,Pisa,Toscana,www.pellealvegetale.it/concerie/nuova-grenoble/
S.R.L. CALZATURIFICIO BELLO',03182310270,152010,Venezia,Veneto,www.calzaturificiobello.it
OPTIMA MOLLITER SRL,01702040443,152010,Macerata,Marche,www.molliter.com
FRANZINI S.R.L.,01822880231,152010,Verona,Veneto,franzini.eu
EUROPELL S.R.L.,04410780482,151100,Firenze,Toscana,www.europellsrl.it
DORA' S.R.L.,02700060243,151100,Vicenza,Veneto,www.doraonline.it
CDIVERTIAMO S.R.L.,04175250275,152010,Venezia,Veneto,www.cdivertiamo.com
CONCERIA TRE EFFE S.R.L.,00653080507,151100,Pisa,Toscana,treeffegroup.it
ROC CONCIARIA SRL,01659660441,151100,Fermo,Marche,www.rocpellami.com
GSB SRL,02122140441,152020,Fermo,Marche,www.gsbsrl.it
SEIPO SRL,00892920885,151100,Ragusa,Sicilia,www.seipo.it
PELLETTERIA 2B S.R.L.,05935650480,151209,Firenze,Toscana,www.leatherluxury.it
CONCERIA NUOVA LEON S.R.L.,02036350243,151100,Vicenza,Veneto,www.nuovaleon.com
DREAMPELL S.R.L.,05147360480,151209,Firenze,Toscana,www.dreampell.it
DOGI INTERNATIONAL SRL,03694960240,151100,Vicenza,Veneto,www.dogiinternational.com
MAXI SUOLA S.R.L.,02003790405,152020,Forlì-Cesena,Emilia-Romagna,www.maxisuola.it/
BONAUDO CONTI S.P.A.,00227050168,151100,Milano,Lombardia,http://www.conceriaconti.biz
FRU.IT S.R.L.,01916310442,152010,Fermo,Marche,www.fru.it
CALZATURIFICIO DI GIUSEPPE S.R.L.,02737321212,152010,Napoli,Campania,www.digiuseppe.it
CONCERIA LUFRAN S.R.L.,01339930503,151100,Firenze,Toscana,concerialufran.it
M & M CALZATURIFICIO S.R.L.,03402740264,152010,Treviso,Veneto,www.wildsideshoes.com
BERVICATO S.R.L.,08073071212,152010,Caserta,Campania,www.bervicato.com
CONCERIA A TEMA SRL,01888960505,151100,Pisa,Toscana,www.a-tema.com
CALZATURIFICIO COSMO S.R.L.,00113410500,152010,Pisa,Toscana,calzaturificiocosmo.it
SUOLIFICIO SQUADRONI SRL,00470060443,152020,Fermo,Marche,www.squadroni.info
VALIGERIA TASCA ATTILIO S.R.L.,02135770127,151209,Varese,Lombardia,valigeriatasca.com
ELLEGI PELLAMI S.P.A. SOCIETA' BENEFIT,01384180509,151100,Pisa,Toscana,www.ellegipellami.it
LACCHIPLAST S.R.L.,01965150541,152010,Perugia,Umbria,www.lacchiplast.it
CLASSIC LEATHER ITALIA SOCIETA' A RESPONSABILITA' LIMITATA,06374240486,151100,Firenze,Toscana,www.classicleatheritalia.com
MASTERTAN S.R.L.,02343390643,151100,Avellino,Campania,www.mastertan.com
CONCERIA BRUTTOMESSO S.R.L.,00519060248,151100,Vicenza,Veneto,www.conceriabruttomesso.it
CAPARRINI S.R.L.,04091300485,152010,Firenze,Toscana,http://www.caparrini.it
COMART S.R.L. UNIPERSONALE,01680220447,152010,Fermo,Marche,www.comartshoes.it
I.S.G. ITALIAN STYLISTIC GROUP S.R.L.,01674230162,151200,Bergamo,Lombardia,guidoangeloni.com
CALZATURIFICIO STRAFFORD S.R.L.,01943300275,152010,Venezia,Veneto,www.straffordshoes.com
CALPIERRE S.R.L.,01391091210,152010,Napoli,Campania,www.calpierre.it
CONCERIA F.3 INT'L S.R.L.,02639420641,151100,Avellino,Campania,www.conceriaf3.com
DESIGN LAB ITALIA S.R.L. UNIPERSONALE,01902690443,152010,Fermo,Marche,www.designlabitalia.com
SANTIPEL S.R.L.,04128780485,151209,Firenze,Toscana,santipel.com
ASSIA TREND SRL,01723140446,152010,Fermo,Marche,http://www.assiatrend.it
EXTON S.R.L.,03351470616,152010,Caserta,Campania,exton.it
REPORTAGE S.R.L.,00399530443,152010,Fermo,Marche,www.torresi.it
LOMER S.R.L.,01130840265,152010,Treviso,Veneto,www.lomer.it
CALZATURIFICIO SANDY SHOES S.R.L.,01500800469,152010,Lucca,Toscana,sandyshoes.it
CALZATURIFICIO FARIDA S.R.L.,00118220524,152010,Siena,Toscana,www.farida.it
SUOLIFICIO MANNINI ROMANO S.R.L.,00734230444,152020,Fermo,Marche,suolificiomannini.it
CALZATURIFICIO GRO NELL S.R.L.,02087580235,152010,Verona,Veneto,www.gronell.it
FREMILLU' CALZATURE S.R.L.,05444821218,152010,Napoli,Campania,giannidelprete.it
C.B.R. TACSTILE S.R.L.,02330620408,152010,Forlì-Cesena,Emilia-Romagna,www.cbr-tacstile.com
CONCIARIA MONDOVI' S.R.L.,02791980044,151100,Cuneo,Piemonte,conciariamondovi.com
MEDIKA ITALIA S.R.L.,02062730235,152000,Verona,Veneto,www.medikaitalia.it
YOBEL S.R.L.,05312840480,151209,Firenze,Toscana,www.pelletteriayobel.it
FARBOPELLI S.R.L.,03288050242,151100,Vicenza,Veneto,www.farbopelli.it
CALZATURIFICIO LOISI S.R.L,01824490500,152010,Pisa,Toscana,www.loisishoes.it
TECNOPELLI S.R.L.,00876610247,151100,Vicenza,Veneto,http://www.tecnopelli.com
CALZATURIFICIO PANIZZOLO ANTONIO S.R.L.,02872360272,152010,Venezia,Veneto,http://www.panizzoloantonio.com
PANTOFOLA D'ORO SPA,01427260672,152010,Ascoli Piceno,Marche,www.pantofoladoro.com
PLINIO VISONA' S.R.L.,01314910249,151209,Vicenza,Veneto,pliniovisona.com
BLUDUE S.R.L.,04370701213,151209,Napoli,Campania,www.bludue.com
MAFFEI33 S.R.L.,02917260644,151100,Milano,Lombardia,www.maffei33.it
SATY S.R.L.,02350380248,152010,Vicenza,Veneto,www.bioline-saty.it
CALZATURIFICIO ORMEDA S.R.L.,00829880434,152010,Macerata,Marche,http://www.calzaturificioormeda.com
CALZATURIFICIO HEROS S.R.L.,00990820441,152010,Fermo,Marche,heroscalzature.it
DADA SRL,02249790441,152010,Ascoli Piceno,Marche,www.meline.it
CALZATURIFICIO ELIO'S SOCIETA' A RESPONSABILITA' LIMITATA ENUNCIABILE ANCHE CALZATURIFICIO ELIO'S S.R.L.,00909990434,152010,Macerata,Marche,www.elios.it
CF & P SRL IN LIQUIDAZIONE,06277650484,151209,Firenze,Toscana,http://www.cfepsrl.com
COLONNELLI GROUP S.R.L.,12867951001,151209,Roma,Lazio,www.colonnellimanifatture.com
SAURO S.R.L.,03209370125,152010,Varese,Lombardia,www.sauroshoes.it
L.A.S. SRL,01489300432,152020,Macerata,Marche,www.laserartstyle.it
MAESTRO SHOES S.R.L.,06667260480,152010,Firenze,Toscana,pasc.it
CALZATURIFICIO LE.PI. S.R.L.,01520790435,152010,Macerata,Marche,www.calzatureperbambini.com
PRIMO CECILIA S.R.L.,00964510572,152010,Rieti,Lazio,www.primocecilia.com
NUOVO NICAR - S.R.L.,00942540501,152010,Pisa,Toscana,www.thesandalsfactory.com
ALBATROS S.R.L.,03530720485,151200,Firenze,Toscana,www.albatros-accessories.it
FANCY S.R.L.,01395980434,152010,Fermo,Marche,www.calzaturificiofancy.it
CONCERIA NUOVA ALBORA S.R.L.,01476030505,151100,Pisa,Toscana,www.nuovaalbora.it
CREATIVE LEATHERS S.R.L.,02626520247,151100,Vicenza,Veneto,www.creativeleathers.com
CONCERIA LA PERLA AZZURRA - S.R.L.,01126290509,151100,Pisa,Toscana,www.eng.laperlaazzurra.com
CONCERIA LO STIVALE S.R.L.,01234820502,151100,Pisa,Toscana,www.lostivale.it
PELLETTERIE GIUDI S.R.L.,00403970437,151209,Macerata,Marche,www.giudi.com
CALZATURIFICIO PRINCES SRL,00728420449,152010,Fermo,Marche,www.joghost.com
HARRIS SHOES - 1913 - S.R.L.,04098090485,152010,Firenze,Toscana,harrisshoes.it
CONCERIA WALPIER S.R.L.,00122790504,151100,Pisa,Toscana,www.conceriawalpier.it
MOTTA PELLI SRL,00693560963,151100,Monza e della Brianza,Lombardia,www.mottapelli.191.it
LEATHER TEAM S.R.L.,02674970245,151100,Vicenza,Veneto,www.leatherteamsrl.it
TACCHIFICIO IL GABBIANO S.R.L.,00445630502,152020,Pisa,Toscana,www.tacchificioilgabbiano.it
MERIDIANA S.R.L.,01192170502,151100,Pisa,Toscana,www.meridianaindustriaconciaria.com
SACCARDI PELLETTERIE - S.R.L.,04866610480,151209,Firenze,Toscana,www.saccardi.it
BIGIONI SRL,02404900447,152010,Fermo,Marche,dinobigioni.com
GIOVE SOCIETA' A RESPONSABILITA' LIMITATA ENUNCIABILE ANCHE GIOVE S.R.L.,01536120437,152010,Macerata,Marche,www.parisienneshoes.com
BIASIOTTO ITALIA S.R.L.,03687880249,152020,Vicenza,Veneto,www.biasiotto.it
CALZATURIFICIO EMMEBLU S.R.L.,07136210726,152010,Barletta-Andria-Trani,Puglia,www.altramarea.it
PUNTO R S.R.L.,07536071215,152010,Napoli,Campania,robertorubino.it
CALZATURIFICIO BIQUATTRO S.R.L.,01318270467,152020,Lucca,Toscana,www.calzaturificiobiquattro.it
I.G.F. S.R.L. ITALIAN GROUP OF FACTORIES,05615520722,152010,Barletta-Andria-Trani,Puglia,www.easywalk.it
METALLURGICA LOMBARDA S.R.L.,00814370151,152020,Milano,Lombardia,http://www.metalo.it
LOREN S.R.L.,00317960268,152010,Treviso,Veneto,www.loren.it
BABI INDUSTRIA CONCIARIA SRL,02235210248,151100,Vicenza,Veneto,www.babileather.it
MARCH S.R.L.,00695540211,151200,Bolzano/Bozen,Trentino-Alto Adige,www.march.it
TORINO LEATHER INTERIORS S.R.L. SIGLABILE TLI SRL,09550740014,151209,Torino,Piemonte,www.tlisrl.it
CREATIVITY SRL,05633280481,151209,Firenze,Toscana,www.creativitysrl.it
BRM GROUP S.R.L.,02355920501,152020,Pisa,Toscana,www.brmgroup.it
BLUPELL S.R.L.,02954300246,151100,Vicenza,Veneto,www.blupell.it
FRATELLI BORGIOLI - S.R.L.-,00541050480,152010,Firenze,Toscana,fratelliborgioli.com
CALZATURIFICIO DOVER - S.R.L.,01085230504,152010,Pisa,Toscana,www.danilobonfanti.it
TRADIGO GIOVANNI S.R.L.,01151320155,152000,Milano,Lombardia,www.tradigo.it
MARYAM S.R.L.,02093290506,151100,Pisa,Toscana,www.conceriamaryam.it
LA REPO S.R.L.,01211450448,152000,Fermo,Marche,www.repo-srl.com
"FABBRICA PELLETTERIE MILANO S.P.A. O, IN FORMA ABBREVIATA, F.P.M. S.P.A.",06746000964,151209,Milano,Lombardia,www.fabbricapelletteriemilano.eu
CALZATURIFICIO ELENA S.R.L.,02492180233,152010,Verona,Veneto,elenashoes.it
STILMODA S.R.L.,00577850985,152010,Brescia,Lombardia,stilmodashoes.com
INOVIKA S.R.L.,04218910265,152010,Treviso,Veneto,www.inovika.it
MADISON S.R.L.,01909400507,151100,Pisa,Toscana,www.madisonsrl.com
NICE S.R.L. (NUOVA INDUSTRIA CONCIARIA EUROPEA S.R.L.),01653820249,151100,Vicenza,Veneto,www.concerianice.com
CALZATURE BEPPE S.R.L.,00380090431,152010,Macerata,Marche,www.halmanera.it
ANDERSON'S S.R.L.,00150630341,151209,Parma,Emilia-Romagna,http://www.anderson.it
OFFICINARTIGIANA S.R.L.,05398601210,151209,Napoli,Campania,www.officinartigiana.it
ASTORFLEX S.R.L.,02495620201,152010,Mantova,Lombardia,www.astorflex.it
EUROPEAN GROUP S.R.L.,13379230157,152020,Milano,Lombardia,www.europeangroup.it
M&C PELLETTERIA ARTIGIANA S.R.L.,10129210968,151209,Milano,Lombardia,www.mcpelletteriaartigiana.it
CALZATURIFICIO LANCIOTTI A.R. S.R.L.,01771460449,152010,Fermo,Marche,www.lanciottideverzi.com
RIVADAVIA INDUSTRIA CONCIARIA S.P.A.,01419380504,151100,Pisa,Toscana,www.rivadavia.net
SIM.TO.PEL. S.R.L.,11873800152,151100,Milano,Lombardia,www.simtopel.com
KYBUN JOYA PRODUKTION ITALY SRL,04234070268,152010,Treviso,Veneto,kybunjoya.swiss
GI.VI.PLAST S.R.L.,01442500441,152020,Fermo,Marche,giviplast.com
FRANCESCO RUSSO S.R.L.,08704601213,152010,Caserta,Campania,www.francescorussosrl.it
CALZATURIFICIO ESTER S.R.L.,02130990183,152010,Pavia,Lombardia,www.calzaturificioester.it
EMMETIERRE S.R.L.,03168520488,151209,Firenze,Toscana,www.emmetierre.it
FERCA 81 S.R.L.,00995630308,152010,Udine,Friuli-Venezia Giulia,www.ferca81.com
CO. GE. ECOLOGICA S.R.L.,00442780938,151100,Pordenone,Friuli-Venezia Giulia,www.cogeservizi.it
CARIBU SRL,09512890154,152010,Milano,Lombardia,shop.henrybeguelin.it
CRISTIAN MARCUCCI S.R.L. SOCIETA' BENEFIT,06513400488,151209,Firenze,Toscana,www.marcuccigroup.com
CROCOLUX SRL,09828760968,151209,Milano,Lombardia,www.crocolux.it
CORAME S.R.L.,07357920961,151209,Monza e della Brianza,Lombardia,corame.it
SABENA CALZATURIFICIO S.R.L.,04563540261,152010,Treviso,Veneto,www.cronoteam.it
FITWELL 4.0 S.R.L.,05048870264,152010,Treviso,Veneto,www.fitwellsrl.it
FINEST SHOES S.R.L. IN LIQUIDAZIONE,00439310483,152010,Lucca,Toscana,www.atlanticstars.it
IDEA 84 S.R.L.,01037300447,152020,Fermo,Marche,www.idea84.com
PINK SHOES S.R.L.,06309630728,152010,Barletta-Andria-Trani,Puglia,www.pinkshoes.it
BRUNO TROTTI CALZATURE S.R.L.,02076210448,152010,Fermo,Marche,www.lemare.it
LABEL - STORE INDUSTRIES S.R.L.,03729490262,151209,Treviso,Veneto,www.labelstoreindustries.it
GALLIATE PELLI S.R.L.,01286440035,151100,Novara,Piemonte,www.galliatepelli.it
ELLEDUESSE CONTRAFFORTI S.R.L.,03513590152,152020,Milano,Lombardia,elleduesse.it
ARKE' CONCERIA SRL,02293280505,151100,Pisa,Toscana,arkeconceria.com
MAURIZI S.R.L,01413830439,152010,Macerata,Marche,eliamaurizi.eu
STUDIO PELLE PELLETTERIA - S.R.L.,02215840485,151209,Firenze,Toscana,www.studiopelle.it
PISTOLESI - S.R.L.,01151690508,151100,Pisa,Toscana,www.pistolesisrl.it
QUALITY S.R.L.,01179810435,152020,Macerata,Marche,www.suolificioquality.it
CALZATURIFICIO GALLO S.R.L.,08246011210,152010,Napoli,Campania,www.francescobenigno.it
ROMA S.R.L.,02022110676,151209,Teramo,Abruzzo,romapelletterie.it
STUDIOART LEATHER INTERIORS SRL,03869430243,151100,Vicenza,Veneto,www.studioart.it
CONCERIA COPAR PELLAMI S.R.L.,03977690241,151100,Vicenza,Veneto,www.coparsrl.it
SUOLIFICIO STELLA S.R.L.,01282370442,152020,Fermo,Marche,stellasolesfactory.com
NEW SAFETY WORK S.R.L.,06211400723,152020,Barletta-Andria-Trani,Puglia,www.newsafetywork.it
MANIFATTURA TOSCANA PELLAMI S.R.L.,01439560507,151100,Pisa,Toscana,http://www.mtpellami.it/
VERDI FASHION S.R.L.,02211750985,152010,Brescia,Lombardia,www.verdi-italy.com
VOGUE FINISH S.R.L.,00209110501,151100,Pisa,Toscana,www.voguefinish.it
ROMAGNOLI RONDINELLA S.R.L.,00981270432,152010,Macerata,Marche,www.rondinellashoes.com
SIGNORIN ILARIO S.R.L.,02066310240,151100,Vicenza,Veneto,www.signorinilario.it
PELLETTERIA FUSELLA S.R.L.,02734870120,151209,Varese,Lombardia,www.pelletteriafusella.com
GAFFE - SOCIETA' A RESPONSABILITA' LIMITATA,00986130342,151209,Parma,Emilia-Romagna,francodessi.it
ARCHIVIO SRL,04083610248,151209,Vicenza,Veneto,carlille.it
CALZATURIFICIO FRANCESCHETTI S.R.L.,00985770445,152010,Fermo,Marche,franceschetti.it
GY-TAL SHOES S.R.L.,00437920507,152010,Pisa,Toscana,www.gytalshoes.com
LA MANUELITA S.R.L.,01597530433,152010,Fermo,Marche,manuelitaitaly.com
2ME LAB. S.R.L.,06479570969,151209,Milano,Lombardia,www.2mestyle.com
BLUE STAR SRL,01936510443,152010,Fermo,Marche,www.lucaguerrini.com
F.A.P. ITALIA S.R.L.,02411480169,151209,Milano,Lombardia,www.fapitalia.it
PER-PEL S.R.L.,01507340246,151100,Vicenza,Veneto,www.perpel.com
B 2 - S.R.L.,01053850465,152000,Lucca,Toscana,www.calzaturificiob2.it
LADY SHOES S.R.L.,04047040615,152010,Caserta,Campania,www.lady-shoes.it
DUPELCO DI DUSINI NICOLA S.R.L.,00334440229,151100,Trento,Trentino-Alto Adige,www.piodusini.it
ZETAPELLI S.R.L.,01320810243,151100,Vicenza,Veneto,www.zetapelli.it
EGO S.R.L.,02080790542,151209,Perugia,Umbria,egosrl.it
CONCERIA MA.BO.PELL SRL,02795460241,151100,Vicenza,Veneto,www.mabopell.it
FLECS S.R.L.,02444590612,152010,Caserta,Campania,http://www.flecs.com
MEDITERRANEO S.R.L. UNIPERSONALE,01698410675,151209,Pescara,Abruzzo,www.mediterraneopelle.com
ANDREA DEL VECCHIO SOLUZIONI ESCLUSIVE S.R.L.,04004060283,151209,Padova,Veneto,andreadelvecchio.com
SCHEDONI S.R.L.,02797190366,151209,Modena,Emilia-Romagna,schedoni.com
CALZATURIFICIO ARTIGIANA SCARPE S.R.L.,05341741212,152010,Napoli,Campania,www.artigianascarpe.com
MAGICA - S.R.L.,00718720121,151209,Varese,Lombardia,www.mgk.it
CALZATURIFICIO SPINNAKER S.R.L.,02138720509,152010,Pisa,Toscana,www.calzaturificiospinnaker.it
BLUBOX S.R.L.,08036690967,151209,Bologna,Emilia-Romagna,www.spaldingbros.com
ROTTA S.R.L.,02278170234,152010,Verona,Veneto,www.guglielmorotta.it
DONNA SOFT S.R.L.,01124830439,152010,Macerata,Marche,mot-cle.it
ACCOPPIATURA RICCARDO S.R.L.,01736560440,152020,Fermo,Marche,www.accoppiaturariccardo.it
BENERICETTI S.R.L.,01561830504,151100,Pisa,Toscana,www.benericettipolska.com
PANTANETTI SOCIETA' A RESPONSABILITA' LIMITATA,02008540441,152010,Fermo,Marche,www.pantanetti.it
GREEN LEATHER S.R.L.,03108070248,151100,Verona,Veneto,www.greenleather.it
ROSIS SRL,01094290432,152020,Macerata,Marche,www.remattostyle.it
CONCERIA DALLA BARBA S.R.L.,01777000249,151100,Vicenza,Veneto,www.conceriadallabarba.eu
ARTE PELLETTIERI S.R.L.,06108350486,151209,Firenze,Toscana,www.artepellettieri.it
SAINT FERRY S.R.L.,00339810442,152010,Fermo,Marche,www.koil.it
CALZATURIFICIO GAL.MEN S.R.L.,01039880446,152010,Fermo,Marche,natude.it
MASCA PROGETTO BORSA S.R.L.,03809800166,151209,Bergamo,Lombardia,www.mascapb.com
CASLAM SRL,02712770649,151100,Avellino,Campania,www.caslam.it
SUTORIUS S.R.L.,06495280486,152010,Firenze,Toscana,www.pakerson.it
GEMAX GROUP S.R.L.,06966571215,152010,Napoli,Campania,www.gemaxgroup.it
GOLDENFIT S.R.L.,05368250725,152010,Barletta-Andria-Trani,Puglia,www.goldenfit.it
ELATA SALVATORE NICOLAZZO S.R.L.,00039690755,152010,Lecce,Puglia,elata.it
ANDREW S.R.L.,03138390269,152000,Treviso,Veneto,andrewshoes.com
MY LADY S.R.L.,00906720446,152020,Fermo,Marche,myladysrl.it
FA.BO.SS. S.R.L.,12342130155,151209,Milano,Lombardia,www.logistica-piacenza.it
CALZATURIFICIO LORENZI SRL,00985170448,152010,Fermo,Marche,www.lorenzishoes.it
CALZATURIFICIO TOGI S.R.L.,04297300610,152010,Caserta,Campania,www.togisrl.it
BELLO S.P.A.,04593730650,151100,Salerno,Campania,www.conceriabello.it
CONCERIA MARCA TORO S.R.L.,00245760509,151100,Pisa,Toscana,www.marcatoro.it
DUCA S.R.L. - UNIPERSONALE,02406800249,151100,Vicenza,Veneto,www.ducapellami.com
M.P.E. S.R.L.,00230000507,151100,Pisa,Toscana,mpesrl.net
GALLETTI & CARLINI S.R.L.,01415780483,151209,Firenze,Toscana,www.galletti-pelletterie.it
STIRATRICE M.C. DI RICCI DONATELLA S.R.L.,00905990503,151100,Pisa,Toscana,www.stiratricemc.com
PERA CARLO SHOES - S.R.L.,01276670468,152010,Lucca,Toscana,www.lunet.it/aziende/pera
GABRIEL S.R.L.,06743680487,151209,Firenze,Toscana,www.maisongabriel.it
ATLANTE FINISH - S.R.L.,00940160500,151100,Pisa,Toscana,www.atlantefinish.it
CALZATURIFICIO CO.RAF. GROUP S.R.L.,04253180618,152010,Caserta,Campania,www.keboshoes.it
BE SNEAKERS SOCIETA' A RESPONSABILITA' LIMITATA,08415940728,152010,Barletta-Andria-Trani,Puglia,www.besneakers.it
ESOTICA S.R.L.,02143910129,151100,Varese,Lombardia,www.esotica.com
AB CREATIVE SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA UNIP ERSONALE,06775670489,151209,Firenze,Toscana,www.arberburreli.it
PACIOTTI S.R.L.,00220950430,152010,Macerata,Marche,www.paciotti.com
PELLETTERIE DELFINO S.R.L.,04345500286,151209,Padova,Veneto,www.pelletteriedelfino.it
CONCERIA ONDA VERDE S.R.L.,00157280504,151100,Pisa,Toscana,www.conceriaondaverde.it
LASER TEAM SOCIETA' A RESPONSABILITA' LIMITATA IN SIGLA LASER TEAM S.R.L.,03193130402,152020,Forlì-Cesena,Emilia-Romagna,www.laserteam.it
CALZATURIFICIO DONNA CAROLINA S.R.L.,00423140276,152010,Venezia,Veneto,donnacarolina.it
CONCERIA ANNA RITA S.R.L.,00318950508,151100,Pisa,Toscana,www.conceriannarita.it
EUROTOP & BRADOR S.R.L.,03826240404,152010,Pesaro Urbino,Marche,www.brador.it
GIORGIO LINEA SRL,04690810488,151209,Firenze,Toscana,www.giorgiolinea.it
POLYFLEX S.R.L.,08232670722,152010,Barletta-Andria-Trani,Puglia,www.polyflexcalzature.com
CONFORT S.R.L.,01592920431,152010,Macerata,Marche,www.confort.it
DANKE PELLETTERIA S.R.L.,04416120162,151209,Bergamo,Lombardia,www.dankepelletteria.it
G & G FOOTWEAR S.R.L.,00914400346,152010,Parma,Emilia-Romagna,www.gegfootwear.it
ORIGINAL MOCASSIN S.R.L.,02814050643,152010,Avellino,Campania,www.caloshoes.it
SIMONE MARTINI S.R.L.,05247380487,152010,Firenze,Toscana,www.simonemartini.net
CONCERIA M B 3 S.R.L.,01371250505,151100,Pisa,Toscana,mb3.it
CONCERIA NUOVA ETRURIA S.R.L.,00190660506,151100,Pisa,Toscana,www.nuovaetruria.it
SA.CU.TEX. S.R.L.,03469030286,152020,Padova,Veneto,www.sacutex.com
ALTAMODA BELT SRL,01678970169,151200,Bergamo,Lombardia,www.altamoda.pl
DUEDI' SOCIETA' A RESPONSABILITA' LIMITATA,03923350619,152010,Caserta,Campania,www.difrancoshoes.com
SESA SHOES SRL,02442810442,152010,Fermo,Marche,www.sesashoes.com
EGI.FRA. S.R.L.,07991330965,152020,Milano,Lombardia,www.egifra.it
ACCOPPIATURE GC S.R.L.,02209890462,151100,Lucca,Toscana,www.accoppiaturegc.it
PELLECO S.R.L.,00169460805,151100,Reggio di Calabria,Calabria,www.pelleco.it
GIPSY PRODUCTION S.R.L.,05159111219,152020,Napoli,Campania,www.gipsyproductionsrl.it
CONCERIA DINGO S.R.L.,00344250501,151100,Pisa,Toscana,www.conceriadingo.com
SALAR MILANO S.R.L.,04520880750,151209,Lecce,Puglia,www.salar.it
ERNESTO DOLANI SRL,01825860446,152010,Fermo,Marche,www.ernestodolani.it
Z INDUSTRIE SRL,01693230433,152010,Macerata,Marche,www.zecchinodoro.it
CONCERIA STELLA S.R.L.,00668450489,151100,Firenze,Toscana,www.conceriastella.com
PISCITELLI FOOTWEAR S.R.L.,04308640616,152010,Caserta,Campania,www.jpdavid.it
GUARDOLIFICIO DUE ROCCHE S.R.L.,02156880268,152020,Treviso,Veneto,www.2rocche.it
CONCERIA YANKEE S.R.L.,01103500508,151100,Pisa,Toscana,http://www.conceriayankee.com
GALLUCCI S.R.L.,01705780441,152010,Fermo,Marche,www.galluccishoes.it
TEOREMA S.R.L.,02532630403,152020,Forlì-Cesena,Emilia-Romagna,teoremasuole.it
BOLDRINI SELLERIA S.R.L.,01067830479,151209,Pistoia,Toscana,boldriniselleria.com
DUSY GROUP S.R.L.,02157410461,152010,Lucca,Toscana,www.sanitalight.it
BS SRL,03993160245,151100,Vicenza,Veneto,bssplitting.it
ANTONY GROUP SRL,01051150363,151200,Modena,Emilia-Romagna,www.silvanobiagini.com
PELLEGRINI GROUP S.R.L.,03758890481,151100,Firenze,Toscana,www.conceriapellegrini.com
M.P.G. INDUSTRIA CONCIARIA SRL,00120900501,151100,Pisa,Toscana,mpg.it
AMBRA AUTOMOTIVE LEATHER SRL,03424640245,151100,Vicenza,Veneto,www.ambraautomotive.com
SIM ITALIAN GLOVES SRL,03260961218,151209,Napoli,Campania,simeonegloves.com
NEW PEL COMPANY SRL,00884830241,151100,Vicenza,Veneto,newpel.com
G.N.V. SRL,01338800442,152010,Fermo,Marche,www.calzaturificiognv.it
CONCERIA CENTOMO S.R.L.,01780950240,151100,Vicenza,Veneto,http://www.centomo.it
BERNACCHINI 1905 S.R.L.,01635910431,152010,Macerata,Marche,www.bernacchini.com
